"","Leche","Tratamiento","Textura","Sabor","Packaging","Tamaño","Precio","Leche.1","Tratamiento.1","Textura.1","Sabor.1","Packaging.1","Tamaño.1","Precio.1"
"38","Oveja","Cruda","Semi-blanda","Suave","Horma encerada","200","2000",2,1,3,2,1,1,1
"64","Vaca","Pasteurizada","Semi-blanda","Intenso","Cuña envuelta en film","200","2000",1,2,3,1,2,1,1
"123","Cabra","Cruda","Dura","Suave","Cuña al vacío","200","2000",3,1,1,2,3,1,1
"145","Vaca","Cruda","Dura","Intenso","Horma encerada","500","2000",1,1,1,1,1,2,1
"248","Oveja","Cruda","Semi-dura","Intenso","Cuña al vacío","500","2000",2,1,2,1,3,2,1
"300","Cabra","Pasteurizada","Semi-dura","Intenso","Horma encerada","1000","2000",3,2,2,1,1,3,1
"383","Oveja","Pasteurizada","Blanda","Suave","Cuña envuelta en film","1000","2000",2,2,4,2,2,3,1
"489","Cabra","Cruda","Semi-dura","Intenso","Cuña envuelta en film","200","4000",3,1,2,1,2,1,2
"550","Vaca","Pasteurizada","Blanda","Intenso","Cuña al vacío","200","4000",1,2,4,1,3,1,2
"621","Cabra","Cruda","Blanda","Suave","Horma encerada","500","4000",3,1,4,2,1,2,2
"659","Oveja","Pasteurizada","Semi-dura","Suave","Cuña envuelta en film","500","4000",2,2,2,2,2,2,2
"796","Vaca","Pasteurizada","Dura","Suave","Cuña envuelta en film","1000","4000",1,2,1,2,2,3,2
"830","Oveja","Cruda","Semi-blanda","Intenso","Cuña al vacío","1000","4000",2,1,3,1,3,3,2
"869","Oveja","Pasteurizada","Dura","Intenso","Horma encerada","200","6000",2,2,1,1,1,1,3
"991","Vaca","Cruda","Semi-dura","Suave","Cuña al vacío","200","6000",1,1,2,2,3,1,3
"1071","Cabra","Cruda","Semi-blanda","Intenso","Cuña envuelta en film","500","6000",3,1,3,1,2,2,3
"1146","Cabra","Pasteurizada","Semi-blanda","Suave","Cuña al vacío","500","6000",3,2,3,2,3,2,3
"1183","Vaca","Cruda","Semi-dura","Suave","Horma encerada","1000","6000",1,1,2,2,1,3,3
"1220","Oveja","Cruda","Blanda","Intenso","Cuña envuelta en film","1000","6000",2,1,4,1,2,3,3
